Date,Open,High,Low,Close,Volume
2016-01-04,23.2143,23.8431,23.0794,23.8381,277711473
2016-01-05,23.9239,23.9487,23.1702,23.2372,233044660
2016-01-06,22.7512,23.1612,22.5938,22.7829,297237723
2016-01-07,22.3256,22.6528,21.8171,21.821,338668741
2016-01-08,22.2969,22.4231,21.8909,21.9353,307513251
2016-01-11,22.3905,22.4113,22.0199,22.292,219852346
2016-01-12,22.7492,22.7809,22.3631,22.6142,207618625
2016-01-13,22.696,22.8913,22.0123,22.0318,270787497
2016-01-14,22.1619,22.7336,21.6603,22.5168,272551245
2016-01-15,21.7659,22.1049,21.5745,21.9736,346171619
2016-01-19,22.2635,22.3196,21.6071,21.8683,234652209
2016-01-20,21.5153,22.2141,21.1369,21.8978,307806068
2016-01-21,21.9579,22.1442,21.4791,21.7883,205724708
2016-01-22,22.3147,22.9535,22.2556,22.9445,284208360
2016-01-25,22.9673,22.9693,22.4468,22.498,219379870
2016-01-26,22.6073,22.8223,22.1877,22.6211,267868937
2016-01-27,21.7292,21.8613,21.1183,21.1369,579523004
2016-01-28,21.2188,21.3824,20.9026,21.2848,243504920
2016-01-29,21.4434,22.0199,21.343,22.0199,272356881
2016-02-01,21.8249,21.881,21.5834,21.8171,169982082
2016-02-02,21.5884,21.7292,21.3273,21.3735,156195628
2016-02-03,21.4928,21.9087,21.2828,21.7992,196470360
2016-02-04,21.8051,22.1393,21.6524,21.9716,199719612
2016-02-05,21.954,22.0446,21.3095,21.3844,189738735
2016-02-08,21.1852,21.7707,21.1646,21.613,231762015
2016-02-09,21.4464,21.824,21.3646,21.6081,184509261
2016-02-10,21.8191,21.9167,21.4042,21.4424,180915226
2016-02-11,21.3312,21.546,21.0621,21.3115,202031151
2016-02-12,21.4236,21.4956,21.1578,21.3785,172762585
2016-02-16,21.615,22.0288,21.5203,21.9806,199916747
2016-02-17,21.9886,22.3403,21.8712,22.3206,186387222
2016-02-18,22.4832,22.4951,21.8584,21.8959,162912780
2016-02-19,21.8368,22.0093,21.7933,21.8466,143278135
2016-02-22,21.9077,22.0406,21.8191,22.0357,145554650
2016-02-23,21.9284,21.949,21.5065,21.5392,130663564
2016-02-24,21.3765,21.9235,21.2278,21.8604,153168197
2016-02-25,21.8485,22.0093,21.6672,22.0093,108584518
2016-02-26,22.1088,22.2969,21.9677,22.0426,120825719
2016-02-29,22.0308,22.3442,21.9836,21.9925,132489719
2016-03-01,22.2111,22.9216,22.1589,22.8666,215232729
2016-03-02,22.8616,22.9485,22.6636,22.9167,142316119
2016-03-03,22.8775,23.1385,22.8478,23.0913,152892747
2016-03-04,23.2843,23.5978,23.0604,23.4352,192430920
2016-03-07,23.2902,23.3899,22.9654,23.1732,143201827
2016-03-08,22.9246,23.1493,22.8359,22.9807,133764421
2016-03-09,23.0471,23.1101,22.8065,23.0025,106460344
2016-03-10,23.0694,23.255,22.7809,23.0145,147333436
2016-03-11,23.255,23.2638,23.0913,23.2598,111377949
2016-03-14,23.1821,23.4096,23.1512,23.319,110240164
2016-03-15,23.6481,23.9239,23.6216,23.7919,176147015
2016-03-16,23.7989,24.1804,23.7939,24.1005,168391011
2016-03-17,24.0038,24.2196,23.8738,24.062,151321369
2016-03-18,24.1882,24.2264,23.9278,24.0906,194336143
2016-03-21,24.0936,24.4906,23.9152,24.0877,156077983
2016-03-22,23.9417,24.4079,23.9327,24.2729,142632969
2016-03-23,24.2216,24.3566,24.0857,24.1389,112998492
2016-03-24,23.9949,24.1654,23.8599,24.0354,114886517
2016-03-28,24.1072,24.1506,23.8975,23.9278,80808832
2016-03-29,23.8599,24.5222,23.8599,24.4976,130191523
2016-03-30,24.7153,25.1174,24.7024,24.9224,194933454
2016-03-31,24.9587,25.0011,24.7645,24.7912,105290426
2016-04-01,24.7419,25.0208,24.6099,25.0179,110409441
2016-04-04,25.1174,25.5166,25.084,25.2741,152950032
2016-04-05,24.9125,25.1855,24.8897,24.9814,108979472
2016-04-06,25.0741,25.2435,24.8434,25.2387,110576195
2016-04-07,25.0111,25.1174,24.5952,24.6879,129685288
2016-04-08,24.7715,24.9716,24.6022,24.7173,101240495
2016-04-11,24.7862,25.1599,24.7519,24.7982,116428459
2016-04-12,24.8731,25.1371,24.7173,25.1214,114947351
2016-04-13,25.2011,25.5529,25.2011,25.4808,140373563
2016-04-14,25.3903,25.5657,25.3234,25.4938,106532238
2016-04-15,25.4968,25.5432,24.9617,24.9914,193528327
2016-04-18,24.7665,24.7815,24.3253,24.4523,258847271
2016-04-19,24.5439,24.5695,24.1605,24.3183,135364540
2016-04-20,24.2592,24.5883,24.123,24.3704,116103768
2016-04-21,24.3223,24.3223,24.0038,24.1005,128692429
2016-04-22,23.8856,24.2216,23.8009,24.0384,143839542
2016-04-25,23.8836,24.0314,23.7741,23.9025,117160563
2016-04-26,23.6361,23.9537,23.6361,23.7359,173589717
2016-04-27,21.8368,22.4547,21.7659,22.2487,478460336
2016-04-28,22.2032,22.2645,21.4374,21.5705,347760330
2016-04-29,21.3785,21.546,21.0444,21.3214,294724176
2016-05-02,21.3725,21.3992,21.0197,21.2977,208213870
2016-05-03,21.4266,21.7796,21.3075,21.6504,246107684
2016-05-04,21.6553,21.8141,21.339,21.4236,168573434
2016-05-05,21.5113,21.5283,21.2118,21.336,151343511
2016-05-06,21.3665,21.3844,21.0216,21.2198,187000419
2016-05-09,21.2819,21.4584,21.1902,21.2358,135341057
2016-05-10,21.3567,21.4131,21.0808,21.3785,142526157
2016-05-11,21.3913,21.4131,21.1608,21.1725,106328547
2016-05-12,21.2198,21.2328,20.4755,20.6729,326073573
2016-05-13,20.597,20.9793,20.597,20.7131,185397681
2016-05-16,21.1449,21.6021,20.9755,21.485,260951052
2016-05-17,21.6377,21.6732,21.2838,21.3943,191869669
2016-05-18,21.55,21.7913,21.487,21.6406,179685752
2016-05-19,21.6593,21.6593,21.4131,21.558,129305023
2016-05-20,21.6593,21.8397,21.6328,21.7933,131588398
2016-05-23,21.9393,22.2417,21.8949,22.0674,158284491
2016-05-24,22.2497,22.4497,22.1619,22.4043,129530550
2016-05-25,22.5818,22.8242,22.4537,22.7927,150650401
2016-05-26,22.8105,23.0537,22.5739,22.9787,238335446
2016-05-27,22.757,22.9925,22.7119,22.9654,150789123
2016-05-31,22.7927,22.9767,22.6142,22.8527,170414912
2016-06-01,22.6597,22.7809,22.5039,22.5334,122537906
2016-06-02,22.3364,22.3905,22.1135,22.3651,168821535
2016-06-03,22.3797,22.4901,22.3028,22.4093,110779377
2016-06-06,22.426,23.3161,22.3246,22.5729,99573694
2016-06-07,22.7139,22.8557,22.6469,22.6626,90478801
2016-06-08,22.6597,22.7848,22.5838,22.6419,83554477
2016-06-09,22.5423,22.8825,22.5334,22.8045,112163056
2016-06-10,22.5492,22.7356,22.5374,22.6191,113589168
2016-06-13,22.5848,22.6842,22.221,22.2762,155461129
2016-06-14,22.2714,22.5374,22.1403,22.3048,134814135
2016-06-15,22.3865,22.5218,22.2052,22.2309,113660136
2016-06-16,22.0713,22.371,21.9846,22.3246,133321211
2016-06-17,22.1108,22.1185,21.8101,21.8171,238645835
2016-06-20,21.9686,22.0989,21.7491,21.7659,146188870
2016-06-21,21.7282,22.0486,21.6672,21.9481,139523612
2016-06-22,22.0258,22.1738,21.822,21.8703,114385321
2016-06-23,21.955,22.0347,21.7992,21.9915,133532768
2016-06-24,21.2611,21.6622,21.204,21.3735,276551502
2016-06-27,21.2819,21.2917,20.9399,21.065,193587965
2016-06-28,21.2591,21.4334,21.0878,21.4181,168367817
2016-06-29,21.5045,21.6377,21.4266,21.6051,140187704
2016-06-30,21.614,21.9177,21.5814,21.879,147675411
2016-07-01,21.8534,22.0753,21.8171,21.9432,108954376
2016-07-05,21.8309,21.8329,21.6179,21.7521,118553691
2016-07-06,21.6495,21.8919,21.5973,21.8623,128129898
2016-07-07,21.9007,22.083,21.884,21.955,103662941
2016-07-08,22.0811,22.1738,21.9796,22.1255,116025323
2016-07-11,22.1403,22.3481,22.1383,22.1946,99022772
2016-07-12,22.2378,22.3601,22.226,22.295,94846051
2016-07-13,22.293,22.3531,22.1619,22.1688,95317924
2016-07-14,22.2881,22.6528,22.2714,22.6044,153441387
2016-07-15,22.6369,22.7258,22.5423,22.6044,129076180
2016-07-18,22.5868,22.9147,22.5659,22.8458,156313323
2016-07-19,22.7848,22.8855,22.7346,22.8557,96558283
